train_loss,train_accuracy,val_loss,val_accuracy
0.761453899420248,0.8293809302634199,0.5933391529731254,0.8291600872246033
0.5316999758657267,0.8547143520668834,0.4948393757158611,0.8544251447477254
0.461228460409646,0.8864707053281136,0.44498870094772996,0.8874351454996616
0.422347563466501,0.8983610908367062,0.41506131053752426,0.8979622528009624
0.3977225479477308,0.9097604671222879,0.3946605456359985,0.9081133919843597
0.37989269587361824,0.9175104505341384,0.3790740111433744,0.9154071734716897
0.3658282108419569,0.9205626700285316,0.3664679687606504,0.9184901120384992
0.3542237882441835,0.9221418618538916,0.3558071674402332,0.9199939845101135
0.3442692476074128,0.9234025612102714,0.34644197605756005,0.9214226633581473
0.33545402443635103,0.9245570964103245,0.3380375750194309,0.9226257613354387
0.327523455640718,0.9256320084931325,0.3304954041083973,0.9236032784419881
0.3204185959546716,0.9265609448609913,0.32379868236819864,0.9246559891721182
0.31405221379812515,0.9276225864242585,0.3177579663851196,0.9253327317843447
0.30827074722369907,0.9285515227921173,0.3121330096116726,0.9262350552673133
0.3029423801066023,0.9293875655231902,0.3069536749098004,0.9267614106323784
0.2979843480402316,0.9299581978634464,0.30211782589465597,0.927663734115347
0.2933461842197325,0.9304093955278349,0.2975755706684779,0.928190089480412
0.28897310382435754,0.9309800278680911,0.29330113477917624,0.9287916384690579
0.2849156495043943,0.9311923561807445,0.28923025728293666,0.9291676065869614
0.2810675222875504,0.9316037422865105,0.2854075395165879,0.9296187683284457
