train_loss,train_accuracy,val_loss,val_accuracy
1.1995160927852344,0.5218724501881926,0.8780745693278381,0.5146946855489569
0.7722299115472622,0.6345774221567131,0.6974434794601974,0.6330135526115426
0.6554688009205306,0.6221277603769115,0.5865566191770215,0.6204507385411908
0.5973180599789726,0.5853315084357645,0.6333599200491239,0.5765189584285062
0.547793362743746,0.7560208459453057,0.5074447935277765,0.7571189279731994
0.5111913413701253,0.7966862316742558,0.5005164912697458,0.7978529008679762
0.4738989137945556,0.8231384728765825,0.4573915510738896,0.8245774326176336
0.448078071797628,0.8611323138472876,0.41997586199096193,0.8599817268158977
0.41857465922721104,0.7793146105861606,0.4264917007969525,0.7798081315669255
0.3943027222812767,0.8723449056405127,0.3882805210588838,0.8758946246383432
0.38350891794998493,0.8938093859395152,0.3611803503727757,0.8956905740825338
0.37158404004246565,0.8438264943542232,0.354308494618717,0.8452109029998477
0.3539935438155036,0.8344431869028506,0.35952778867622737,0.8330287802649612
0.3451895717437999,0.8663174795357039,0.330031819114025,0.86805238312776
0.33590005790682437,0.8621982996867844,0.3186688392637381,0.8621135982945028
0.3258493347559455,0.8677651146263785,0.3112084495661846,0.8685092127303182
0.316990322443634,0.905890558787145,0.3154470070127811,0.9063499314755596
0.31069210943565007,0.87068670544574,0.309832810543254,0.8703365311405512
0.308023675235679,0.8387729318558682,0.34864603479703266,0.8371402466879854
0.30735750362369985,0.8762008791093097,0.2992536375375395,0.8757423481041572
