epoch,loss,train_accuracy,val_accuracy
1,0.6766912759324137,0.825638269282451,0.8243490178163545
2,0.6368525698076315,0.8271566783122817,0.8267854423633318
3,0.6277499208523093,0.8271432410642301,0.8267854423633318
4,0.6216064195692386,0.8263638806772373,0.8259479214253084
5,0.6182654566889884,0.8272910507927976,0.827089995431704
6,0.6160517095853211,0.8270626175759205,0.8269377188975179
7,0.6142894576463018,0.8185165278151034,0.817953403380539
8,0.6126312612590356,0.8277747917226552,0.8279275163697274
9,0.6108550227416146,0.8169981187852727,0.8168113293741435
10,0.6090302387394991,0.8153587745229777,0.8151362874980965
11,0.6069705360220715,0.8173474872346144,0.8171920207096086
12,0.6048257381672092,0.8212711636656813,0.8209227957971676
13,0.6023796382179982,0.8167965600644987,0.8166590528399573
14,0.5997343972286887,0.8278016662187584,0.8280036546368205
15,0.5968560891118627,0.8276001074979844,0.8275468250342622
16,0.5936918846641444,0.8276269819940876,0.8275468250342622
17,0.5902726262269713,0.8278016662187584,0.8279275163697274
18,0.586231813488187,0.8212308519215265,0.8209989340642607
19,0.5821255934156433,0.8205455522708949,0.8205421044617025
20,0.577776994360795,0.827613544746036,0.827013857164611
