method,prune_fraction,sparsity,structured_sparsity,total_parameters,zero_parameters,nonzero_parameters,estimated_size_bytes,total_conv_filters,active_conv_filters,pruned_conv_filters,total_hidden_neurons,active_hidden_neurons,pruned_hidden_neurons,val_loss,val_accuracy,test_loss,test_accuracy
structured,0.0,2.0087985375946646e-05,0.0,49781,1,49780,199120,56,56,0,64,64,0,0.2087415213472494,0.9429280397022333,0.38351626961281016,0.8753272718617604
structured,0.2,0.37765412506779694,0.21666666666666667,49781,18800,30981,123924,56,43,13,64,51,13,0.3779906360459817,0.905331227911873,0.3815917491475887,0.9245965630504117
structured,0.4,0.6455675860267974,0.4083333333333333,49781,32137,17644,70576,56,33,23,64,38,26,0.6831997051275944,0.8234453718324686,0.6837474245908072,0.8311039177417051
structured,0.6,0.8332295454088909,0.6,49781,41479,8302,33208,56,22,34,64,26,38,2.1844529412690745,0.0905331227911873,2.451629057175464,0.07407054791260057
structured,0.8,0.9538980735622025,0.7916666666666666,49781,47486,2295,9180,56,12,44,64,13,51,1.5780847199080232,0.11015865854575532,1.5574095987176126,0.13981053934402818
structured,0.9,0.9851549788071754,0.8833333333333333,49781,49042,739,2956,56,7,49,64,7,57,1.5554900806249017,0.5699676667418603,1.5532654601252958,0.39006045603846334
