train_loss,train_accuracy,val_loss,val_accuracy
0.5922041229959149,0.8674673213456306,0.4766952912790502,0.8675088352507707
0.42409826509568505,0.8978435405746135,0.3977495605771637,0.8969095420708324
0.3686530469329423,0.9088580717935107,0.3575401637959248,0.9077374238664562
0.3346459581046219,0.9192090770353659,0.3288624507366288,0.9167606586961425
0.31062155277916664,0.9253135160241523,0.3069790189953971,0.9213474697345665
0.2934617747357124,0.9283259239599231,0.29173667476709103,0.9249567636664411
0.28056049618049483,0.9313781434543162,0.2797911014567886,0.9275885404917663
0.27023186122010895,0.9335810496980956,0.2704621329493641,0.9298443491991879
0.2618543585060399,0.9352531351602416,0.26236186430216013,0.9311226408000601
0.2547117143130619,0.9359697432154469,0.25607061287474503,0.9326265132716746
0.24822385752265447,0.938451330369584,0.24894057732345928,0.9356342582149034
0.24231899017880865,0.9387432817994824,0.24344739802169646,0.9353334837205804
0.2370610428261996,0.939446619335147,0.23762861209087746,0.9367621625686142
0.23184413200711704,0.940521531417955,0.23330049526139118,0.9387923904052936
0.22727343367306857,0.9406011545352001,0.2282191978862466,0.938717196781713
0.22297394578163185,0.9407604007696901,0.22366707955659085,0.9390931648996165
0.21877889922929705,0.9411717868754562,0.2195321419161064,0.9404466501240695
0.21481426812156584,0.9414770088248955,0.21608962832557474,0.9399954883825852
0.21094077464383224,0.9406542366133634,0.21629324722538387,0.9386420031581322
0.20738633271128284,0.9436135624709707,0.2087415232875277,0.9429280397022333
