train_loss,train_accuracy,val_loss,val_accuracy
1.1660526830916675,0.7233437738530782,0.8013565439475042,0.7256738236637734
0.7509807851846504,0.7630616166135867,0.5813713234700223,0.769453327242272
0.6162750961754317,0.7815518648172032,0.5193634656161066,0.7884878940155322
0.5492948840855392,0.8466164819835232,0.4554309736689386,0.847495051012639
0.500085212846242,0.8679361987734583,0.43848771558915967,0.8684330744632253
0.46597197252987493,0.8683310083436423,0.3970629668692321,0.868204659661946
0.42430567657304635,0.9308951648987972,0.36000678128841823,0.9356631643063804
0.38715461421344843,0.9302634695865027,0.343987154873499,0.93315060149231
0.3676370929956932,0.8999026136393546,0.31773152880033656,0.9045987513324196
0.3539777459035038,0.9106809149053773,0.2964886982446031,0.9135069285823054
0.3304370708524941,0.898349695996631,0.293850627596908,0.9017054971828841
0.325565202748462,0.9088121496065065,0.2888748430059402,0.9106898126998629
0.3134791671067262,0.9188666333271919,0.26679806650882987,0.9241662859753312
0.3038989105321061,0.9419235122259364,0.26672489071942473,0.9469316278361505
0.2992090824730156,0.9446213776221936,0.2591114604565693,0.9503578498553373
0.291635391622326,0.9343958097544285,0.25443677086503935,0.9388609715242882
0.2870095321871873,0.9278288105703683,0.25179685816311737,0.9301812090756815
0.276086625656287,0.9118258626589109,0.2568598027001129,0.9148012791228871
0.27098677086652234,0.922261995630774,0.2433196205389959,0.9244708390437034
0.2654598708731576,0.9539257231595294,0.2681300294919792,0.9567534642911527
