method,prune_fraction,sparsity,structured_sparsity,total_parameters,zero_parameters,nonzero_parameters,estimated_size_bytes,total_hidden_neurons,active_hidden_neurons,pruned_hidden_neurons,val_loss,val_accuracy,test_loss,test_accuracy
structured,0.0,0.0,0.0,16384,0,16384,65536,128,128,0,0.28540754318237305,0.9296187683284457,0.2572873830795288,0.9381158661398581
structured,0.2,0.24359130859375,0.203125,16384,3991,12393,49572,128,102,26,0.4329764246940613,0.9063839386420032,0.3326388895511627,0.9204550863997715
structured,0.4,0.466552734375,0.40625,16384,7644,8740,34960,128,76,52,0.9962276816368103,0.7208060756447853,0.9296703934669495,0.7346122720997763
structured,0.6,0.654052734375,0.59375,16384,10716,5668,22672,128,52,76,1.0726029872894287,0.7680276712534777,1.006892204284668,0.7991621840338935
structured,0.8,0.83734130859375,0.796875,16384,13719,2665,10660,128,26,102,1.2631436586380005,0.6583953680727874,1.2412189245224,0.6430237539867664
structured,0.9,0.91497802734375,0.890625,16384,14991,1393,5572,128,14,114,1.393027424812317,0.835701932476126,1.3754044771194458,0.8371495215880421
